epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.1878,2.57048,4.34548,5.18249,1.59809,0.01212,0.00943,0.00631,0.00216,0.00889,0.00692,0.00466,0.00138,3.67778,6.06574,6.70857,1.70257,0.0739,0.0029,0.0029
2,113.718,2.4138,4.23669,4.13814,1.52444,0.02465,0.01401,0.0128,0.00363,0.02247,0.01266,0.0116,0.00342,3.88726,73.6009,11.8162,2.43635,0.0463159,0.0053159,0.0053159
3,170.671,2.41963,4.15185,4.07102,1.40728,0.0293,0.017,0.01512,0.00492,0.01893,0.01052,0.00966,0.00298,3.57677,8.71042,13.0454,2.17573,0.0181378,0.0071378,0.0071378
4,225.115,2.39527,4.14868,3.8017,1.45014,0.03172,0.02546,0.01693,0.00573,0.01902,0.01527,0.00991,0.00298,3.46893,6.04972,5.53169,1.55301,0.00703,0.00703,0.00703
5,277.284,2.38245,4.05923,3.91731,1.44424,0.02371,0.01904,0.01325,0.0044,0.01722,0.01383,0.00964,0.00317,3.54131,8.2154,5.63545,1.53389,0.00604,0.00604,0.00604
6,336.336,2.31904,3.9953,3.6869,1.38881,0.03994,0.03229,0.02495,0.00952,0.03628,0.02932,0.02239,0.00757,3.37219,5.21115,5.27223,1.43054,0.00505,0.00505,0.00505
7,394.413,2.28044,3.91096,3.60076,1.35813,0.05614,0.04495,0.03584,0.01273,0.06478,0.04738,0.04119,0.01314,3.33585,4.72887,4.86701,1.35798,0.00406,0.00406,0.00406
8,448.624,2.20492,3.92001,3.42235,1.31722,0.06039,0.04877,0.03892,0.0141,0.07241,0.05847,0.04718,0.01638,3.27139,4.28095,4.94509,1.34073,0.00307,0.00307,0.00307
9,505.49,2.1279,3.79682,3.28713,1.30052,0.06429,0.05196,0.04132,0.01469,0.06785,0.05483,0.04329,0.01524,3.25541,4.25503,4.68208,1.31575,0.00208,0.00208,0.00208
10,559.433,2.16426,3.86261,3.33414,1.28767,0.06955,0.05618,0.04471,0.01518,0.06716,0.05425,0.04267,0.01358,3.25402,4.21591,4.56542,1.27003,0.00109,0.00109,0.00109
